ORIGIN_AIRPORT_ID,Description,Sum(PASSENGERS)
10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3605342
11298,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2909149
11292,"Denver, CO: Denver International",2736283
13204,"Orlando, FL: Orlando International",2189359
13930,"Chicago, IL: Chicago O'Hare International",2159546
12892,"Los Angeles, CA: Los Angeles International",2115320
11057,"Charlotte, NC: Charlotte Douglas International",2056473
12889,"Las Vegas, NV: Harry Reid International",1994385
13303,"Miami, FL: Miami International",1970929
14107,"Phoenix, AZ: Phoenix Sky Harbor International",1873870
11618,"Newark, NJ: Newark Liberty International",1587080
12266,"Houston, TX: George Bush Intercontinental/Houston",1567529
12478,"New York, NY: John F. Kennedy International",1512605
14747,"Seattle, WA: Seattle/Tacoma International",1483800
11697,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1430142
14771,"San Francisco, CA: San Francisco International",1372888
13487,"Minneapolis, MN: Minneapolis-St Paul International",1239996
10721,"Boston, MA: Logan International",1130205
12953,"New York, NY: LaGuardia",1114952
14869,"Salt Lake City, UT: Salt Lake City International",1068566
11433,"Detroit, MI: Detroit Metro Wayne County",1062617
15304,"Tampa, FL: Tampa International",920512
14100,"Philadelphia, PA: Philadelphia International",916055
10821,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",853328
11278,"Washington, DC: Ronald Reagan Washington National",839817
14679,"San Diego, CA: San Diego International",833419
12173,"Honolulu, HI: Daniel K Inouye International",744172
10693,"Nashville, TN: Nashville International",704419
10423,"Austin, TX: Austin - Bergstrom International",691858
12264,"Washington, DC: Washington Dulles International",631441
11032,"Cancun, Mexico: Cancun International",616660
11259,"Dallas, TX: Dallas Love Field",616312
13232,"Chicago, IL: Chicago Midway International",572663
14635,"Fort Myers, FL: Southwest Florida International",526994
14843,"San Juan, PR: Luis Munoz Marin International",525572
12191,"Houston, TX: William P Hobby",521239
14057,"Portland, OR: Portland International",515212
15016,"St. Louis, MO: St Louis Lambert International",485725
13495,"New Orleans, LA: Louis Armstrong New Orleans International",467493
14492,"Raleigh/Durham, NC: Raleigh-Durham International",455647
14893,"Sacramento, CA: Sacramento International",432551
14908,"Santa Ana, CA: John Wayne Airport-Orange County",422041
14831,"San Jose, CA: Norman Y. Mineta San Jose International",380369
14027,"West Palm Beach/Palm Beach, FL: Palm Beach International",372611
13198,"Kansas City, MO: Kansas City International",372525
13796,"Oakland, CA: Metro Oakland International",370987
14683,"San Antonio, TX: San Antonio International",366233
12339,"Indianapolis, IN: Indianapolis International",337724
11042,"Cleveland, OH: Cleveland-Hopkins International",319994
14122,"Pittsburgh, PA: Pittsburgh International",297226
11193,"Cincinnati, OH: Cincinnati/Northern Kentucky International",279023
11066,"Columbus, OH: John Glenn Columbus International",278438
13830,"Kahului, HI: Kahului Airport",266604
12451,"Jacksonville, FL: Jacksonville International",256853
10800,"Burbank, CA: Bob Hope",228418
12972,"London, United Kingdom: London Heathrow",224903
13342,"Milwaukee, WI: General Mitchell International",215505
10529,"Hartford, CT: Bradley International",212142
13891,"Ontario, CA: Ontario International",211884
14293,"Punta Cana, Dominican Republic: Punta Cana International",210495
14986,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",198035
14832,"San Jose del Cabo, Mexico: San Jose del Cabo International",195802
10994,"Charleston, SC: Charleston AFB/International",180404
13180,"Montego Bay, Jamaica: Sangster International",178473
10713,"Boise, ID: Boise Air Terminal",173274
13871,"Omaha, NE: Eppley Airfield",173052
10140,"Albuquerque, NM: Albuquerque International Sunport",168716
12758,"Kona, HI: Ellison Onizuka Kona International at Keahole",167721
14570,"Reno, NV: Reno/Tahoe International",166387
14312,"Puerto Vallarta, Mexico: Puerto Vallarta International",162606
14739,"Santo Domingo, Dominican Republic: De Las Americas International",161588
15376,"Tucson, AZ: Tucson International",161542
14524,"Richmond, VA: Richmond International",157344
10299,"Anchorage, AK: Ted Stevens Anchorage International",155418
13244,"Memphis, TN: Memphis International",150334
13931,"Norfolk, VA: Norfolk International",149226
11986,"Grand Rapids, MI: Gerald R. Ford International",148538
14730,"Louisville, KY: Louisville Muhammad Ali International",147919
14262,"Palm Springs, CA: Palm Springs International",144563
12954,"Long Beach, CA: Long Beach Airport",144390
11884,"Spokane, WA: Spokane International",144379
13252,"Mexico City, Mexico: Mexico City International",143917
12982,"Lihue, HI: Lihue Airport",142566
10792,"Buffalo, NY: Buffalo Niagara International",142514
13851,"Oklahoma City, OK: Will Rogers World",140947
11540,"El Paso, TX: El Paso International",139790
14838,"San Jose, Costa Rica: Juan Santamaria International",133278
16271,"Toronto, Canada: Lester B. Pearson International",128501
10292,"Amsterdam, Netherlands: Schiphol",125153
14307,"Providence, RI: Rhode Island Tf Green International",116854
14685,"Savannah, GA: Savannah/Hilton Head International",112770
11423,"Des Moines, IA: Des Moines International",109998
13605,"Nassau, The Bahamas: Lynden Pindling International",109629
10920,"Paris, France: Charles de Gaulle",108753
15370,"Tulsa, OK: Tulsa International",104449
14761,"Sanford, FL: Orlando Sanford International",103793
15096,"Syracuse, NY: Syracuse Hancock International",102074
12169,"Tokyo, Japan: Tokyo International",99406
10599,"Birmingham, AL: Birmingham-Shuttlesworth International",99077
10257,"Albany, NY: Albany International",98872
15013,"Santiago, Dominican Republic: Cibao International",97246
15412,"Knoxville, TN: McGhee Tyson",95475
10411,"Aruba, Aruba: Reina Beatrix International",94390
10849,"Bozeman, MT: Bozeman Yellowstone International",92686
14576,"Rochester, NY: Frederick Douglass Grtr Rochester International",91770
11988,"Sao Paulo, Brazil: Guarulhos Gov Andre Franco Montoro",90671
12010,"Guatemala City, Guatemala: La Aurora International",87739
11996,"Greer, SC: Greenville-Spartanburg International",87597
12197,"White Plains, NY: Westchester County",86761
14112,"St. Petersburg, FL: St Pete Clearwater International",86628
11109,"Colorado Springs, CO: City of Colorado Springs Municipal",86624
14193,"Pensacola, FL: Pensacola International",85640
12990,"Liberia, Costa Rica: Daniel Oduber International",81785
14082,"Punta Gorda, FL: Punta Gorda Airport",81681
11760,"Frankfurt, Germany: Frankfurt Main",80265
13485,"Madison, WI: Dane County Regional-Truax Field",77880
11624,"Key West, FL: Key West International",77449
15024,"Charlotte Amalie, VI: Cyril E King",77094
10466,"Phoenix, AZ: Phoenix - Mesa Gateway",75916
12992,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",73165
11638,"Fresno, CA: Fresno Yosemite International",72414
16229,"Vancouver, Canada: Vancouver International",70473
13577,"Myrtle Beach, SC: Myrtle Beach International",70385
10431,"Asheville, NC: Asheville Regional",69896
15919,"Fayetteville, AR: Northwest Arkansas National",68233
11625,"Ezeiza, Argentina: Ministro Pistarini",67724
14677,"San Salvador, El Salvador: San Oscar A Romero and Galdamez International",64740
13744,"Tokyo, Japan: Narita International",61962
11995,"Greensboro/High Point, NC: Piedmont Triad International",61344
10711,"Bogota, Colombia: El Dorado International",60462
12278,"Wichita, KS: Wichita Dwight D Eisenhower National",59462
14321,"Portland, ME: Portland International Jetport",58031
12073,"Havana, Cuba: Jose Marti International",57749
12402,"Hilo, HI: Hilo International",56226
12391,"Islip, NY: Long Island MacArthur",54430
12277,"Seoul, South Korea: Incheon International",53154
11003,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",52592
11775,"Sioux Falls, SD: Joe Foss Field",52467
11503,"Eagle, CO: Eagle County Regional",51684
12217,"Huntsville, AL: Huntsville International-Carl T Jones Field",50406
14153,"Providenciales, Turks and Caicos Islands: Providenciales International",50294
13158,"Midland/Odessa, TX: Midland International Air and Space Port",48493
15624,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",48270
11603,"Eugene, OR: Mahlon Sweet Field",47460
13230,"Harrisburg, PA: Harrisburg International",47132
11874,"Guadalajara, Mexico: Guadalajara International",47037
10846,"Belize City, Belize: Philip S. W. Goldson International",46207
12441,"Jackson, WY: Jackson Hole",46152
12206,"Harlingen/San Benito, TX: Valley International",45764
16217,"Montreal, Canada: Pierre Elliott Trudeau International",45663
13156,"Madrid, Spain: Adolfo Suarez Madrid Barajas",45526
15092,"Sydney, Australia: Sydney International",44771
12693,"Kingston, Jamaica: Norman Manley International",44714
12945,"Lexington, KY: Blue Grass",44713
15084,"Philipsburg, Sint Maarten: Princess Juliana International",44703
10372,"Aspen, CO: Aspen Pitkin County Sardy Field",44496
14783,"Springfield, MO: Springfield-Branson National",44404
12094,"Hayden, CO: Yampa Valley",44070
11267,"Dayton, OH: James M Cox/Dayton International",44054
12986,"Lima, Peru: Jorge Chavez International",44024
11481,"Panama City, FL: Northwest Florida Beaches International",43325
14689,"Santa Barbara, CA: Santa Barbara Municipal",43199
16257,"Calgary, Canada: Yyc Calgary International",43044
11637,"Fargo, ND: Hector International",42978
13256,"Mission/McAllen/Edinburg, TX: McAllen International",42728
12323,"Wilmington, NC: Wilmington International",42469
12016,"Guam, TT: Guam International",42362
14489,"Bend/Redmond, OR: Roberts Field",41967
10785,"Burlington, VT: Burlington International",41926
10868,"Columbia, SC: Columbia Metropolitan",41753
12448,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",40733
10408,"Appleton, WI: Appleton International",39388
11868,"Grand Cayman, Cayman Islands: Owen Roberts International",37697
